field,value
obs_2_step_phase,S12-S13
obs_2_system_behavior,No tutor active in without_tutor condition.
obs_2_time,23:26:02Z
obs_3_notes,"Coded S16/S17 OM=1; S18/S19 no user error from telemetry, visual final GO unverified."
obs_3_observation,Final flap_auto=false and takeoff_trim_set=false; right DDI PB5 plus FCS BIT switch-up sequence was observed.
obs_3_participant_behavior,"Flap AUTO confirmation and takeoff trim were omitted, but FCS reset and FCS BIT control actions were performed."
obs_3_request_id,n/a
obs_3_severity,medium
obs_3_step_phase,S16-S19
obs_3_system_behavior,No tutor active in without_tutor condition.
obs_3_time,23:26:07Z-23:26:18Z
obs_4_notes,Coded S22/S26/S27 OM=1; S20/S21/S24/S25 no error.
obs_4_observation,"Final probe_retracted=true and hook_retracted=true, but launch_bar_extended=false, pitot_heat_on=false, flap_auto=false."
obs_4_participant_behavior,"Probe and hook portions of four-down check were completed; launch-bar extension, pitot heat, and final flap AUTO were omitted."
obs_4_request_id,n/a
obs_4_severity,medium
obs_4_step_phase,S20-S27
obs_4_system_behavior,No tutor active in without_tutor condition.
obs_4_time,23:26:43Z-23:27:04Z
obs_5_notes,Coded S28/S29/S32 OM=1; S30/S31/S33 no error.
obs_5_observation,"Final parking_brake_released=false, bingo_fuel_set=false, standby_attitude_uncaged=false; radar_altimeter_bug_set=true and attitude_source_auto=true."
obs_5_participant_behavior,"Radar-altimeter bug and attitude source were set, but parking brake release, BINGO, and standby-attitude uncage were omitted."
obs_5_request_id,n/a
obs_5_severity,medium
obs_5_step_phase,S28-S33
obs_5_system_behavior,No tutor active in without_tutor condition.
obs_5_time,23:27:18Z-23:27:32Z
obs_6_notes,
obs_6_observation,
obs_6_participant_behavior,
obs_6_request_id,
obs_6_severity,
obs_6_step_phase,
obs_6_system_behavior,
obs_6_time,
obs_7_notes,
obs_7_observation,
obs_7_participant_behavior,
obs_7_request_id,
obs_7_severity,
obs_7_step_phase,
obs_7_system_behavior,
obs_7_time,
obs_8_notes,
obs_8_observation,
obs_8_participant_behavior,
obs_8_request_id,
obs_8_severity,
obs_8_step_phase,
obs_8_system_behavior,
obs_8_time,
open_checklist_access,"The text is too small, and the list is fixed in the space and cannot be zoomed in."
open_difficult_part,"For some steps, I need to refer to the checklist."
open_most_confusing,The checklist does not match actual experience.
open_most_helpful,
open_other_comments,
open_tutor_wrong_unclear,
open_vr_effect,"Easy, spatial memory will be stronger"
overlay_visible_vr,n/a
participant_group,intermediate
participant_id,P07
participant_understood_task,"Partially. Participant completed engines, displays, FCS reset/BIT controls, probe/hook, standby altimeter, radar-altimeter bug and attitude source, but omitted several checklist-memory items without tutor support."
pre_trial_notes,
quality_10_notes,action_timeline.csv exists with 250 rows.
quality_10_status,pass
quality_11_notes,No VLM calls were made; leakage count is 0.
quality_11_status,pass
quality_12_notes,technical_issue_occurred=no in the form; no model/overlay path was active.
quality_12_status,pass
quality_13_notes,"Export directory exists with raw log, summary, quality gate, step coding, action timeline, and trial summary artifacts."
quality_13_status,pass
quality_1_notes,logs/P07_T01_without_tutor.jsonl exists and raw_events.jsonl was copied into the export directory.
quality_1_status,pass
quality_2_notes,No external video/VR recording_path was provided in the exported form.
quality_2_status,fail
quality_3_notes,This exported questionnaire/form CSV exists for P07/T01.
quality_3_status,pass
quality_4_notes,quality_gate.json reports strict=true and no errors.
quality_4_status,pass
quality_5_notes,quality_gate.json passed=true.
quality_5_status,pass
quality_6_notes,trial_summary.csv condition is without_tutor.
quality_6_status,pass
quality_7_notes,trial_summary.csv participant/trial IDs are P07/T01.
quality_7_status,pass
quality_8_notes,step_coding.csv contains all S01-S33 rows and human error columns are filled.
quality_8_status,pass
quality_9_notes,"help_cycles.csv has 0 rows, which is plausible for without_tutor/passive recording."
quality_9_status,pass
quest3_experience,occasional
questionnaire_path,artifacts/experiments/fa18c_quest3_simitutor_2026/P07/T01/P07_T01_without_tutor_2026-05-29.csv
randomization_method,
raw_log_path,logs/P07_T01_without_tutor.jsonl
recording_path,
start_time,2026-05-31T23:23:54Z
study_id,fa18c_quest3_simitutor_2026
technical_issue_occurred,不
text_model,simtutor-base
tlx_effort,38
tlx_frustration,18
tlx_mental_demand,39
tlx_performance,32
tlx_physical_demand,87
tlx_raw,40.67
tlx_temporal_demand,30
trial_id,T01
trial_outcome_notes,"Telemetry window 23:23:54Z-23:27:32Z, task time 218.11s. Trial not completed: auto export TotalStepsCompleted=19/33, CriticalStepsCompleted=16, StepCompletionAccuracy=0.575758. Manual telemetry coding after fire-test latch override: OM=11, CO=0, OR=0, PA=0, SV=0. Main coded omissions: COMM1 134.000 input, INS fast-align PB19, radar OPR, flap AUTO confirmation/final AUTO, takeoff trim, launch-bar extension, pitot heat, parking brake release, BINGO fuel, and standby attitude uncage."
tutor_language,zh
usability_t1_na,true
usability_t1_score,7
usability_t2_na,true
usability_t2_score,7
usability_t3_na,true
usability_t3_score,7
usability_t4_na,true
usability_t4_score,7
usability_t5_na,true
usability_t5_score,1
usability_t6_na,true
usability_t6_score,7
usability_u1_na,false
usability_u1_score,6
usability_u2_na,false
usability_u2_score,2
usability_u3_na,false
usability_u3_score,6
usability_u4_na,false
usability_u4_score,6
usability_u5_na,false
usability_u5_score,6
vision_model,simtutor-vision
vr_discomfort_history,no
vr_experience,occasional
vr_setup,Quest 3 Link
